"season","team","freq","avgSquadAge"
"1994","AC Sparta Praha",22,23.2215442092154
"1994","FC Viktoria Plzeň",19,23.453785147801
"1995","AC Sparta Praha",25,23.9567123287671
"1995","FC Viktoria Plzeň",23,23.6729005360334
"1996","AC Sparta Praha",27,23.2767123287671
"1996","FC Viktoria Plzeň",27,22.3865043125317
"1997","AC Sparta Praha",26,24.8303477344573
"1997","FC Viktoria Plzeň",26,24.5249736564805
"1998","AC Sparta Praha",27,25.1012683916794
"1998","FC Viktoria Plzeň",27,24.8251648909183
"1999","AC Sparta Praha",22,25.5653798256538
"1999","FC Viktoria Plzeň",24,24.9237442922374
"2000","AC Sparta Praha",24,25.4254566210046
"2000","FC Viktoria Plzeň",NA,NA
"2001","AC Sparta Praha",30,25.0997260273973
"2001","FC Viktoria Plzeň",47,23.8150976391723
"2002","AC Sparta Praha",33,24.7271066832711
"2002","FC Viktoria Plzeň",NA,NA
"2003","AC Sparta Praha",29,25.2281530467643
"2003","FC Viktoria Plzeň",NA,NA
"2004","AC Sparta Praha",31,26.0932390631905
"2004","FC Viktoria Plzeň",31,26.2793636765356
"2005","AC Sparta Praha",31,24.8246575342466
"2005","FC Viktoria Plzeň",NA,NA
"2006","AC Sparta Praha",29,25.6847425602267
"2006","FC Viktoria Plzeň",26,24.1600632244468
"2007","AC Sparta Praha",28,26.5560665362035
"2007","FC Viktoria Plzeň",25,24.2550136986301
"2008","AC Sparta Praha",31,25.2089262041538
"2008","FC Viktoria Plzeň",34,23.848992747784
"2009","AC Sparta Praha",34,24.7208702659146
"2009","FC Viktoria Plzeň",30,24.3806392694064
"2010","AC Sparta Praha",30,24.3374429223744
"2010","FC Viktoria Plzeň",22,25.4901618929016
"2011","AC Sparta Praha",32,25.4188356164384
"2011","FC Viktoria Plzeň",30,26.0376255707763
"2012","AC Sparta Praha",30,26.2159817351598
"2012","FC Viktoria Plzeň",25,27.2247671232877
"2013","AC Sparta Praha",29,24.9745866792631
"2013","FC Viktoria Plzeň",27,26.1457534246575
"2013","All",467,25.5167935058346
"2012","All",393,26.6745205479452
"2011","All",413,25.7182501104728
"2010","All",382,24.8251317175975
"2007","All",390,25.4706642543293
"2006","All",356,24.9639850560398
"2005","All",335,24.8246575342466
"2004","All",324,26.186301369863
"2003","All",323,25.2281530467643
"2002","All",317,24.7271066832711
"2001","All",354,24.3156022060132
"2009","All",353,24.5613869863014
"2000","All",284,25.4254566210046
"1999","All",274,25.2306134603931
"2008","All",333,24.4975763962065
"1998","All",319,24.9632166412988
"1997","All",278,24.6776606954689
"1996","All",285,22.8316083206494
"1995","All",249,23.8207191780822
"1994","All",248,23.3291680588039
