"season","dateBorn","position","playerName","team","dateSeasonStart","playerAgeYrs"
"2013",1991-03-21,"B","Milan Heča","1. FC Slovácko",2012-07-27,21.3671232876712
"2013",1983-11-29,"B","Dušan Melichárek","1. FC Slovácko",2012-07-27,28.6794520547945
"2013",1992-03-24,"O","Martin Hála","1. FC Slovácko",2012-07-27,20.3561643835616
"2013",1990-06-17,"O","Stanislav Hofmann","1. FC Slovácko",2012-07-27,22.1260273972603
"2013",1992-02-25,"O","Tomáš Jeleček","1. FC Slovácko",2012-07-27,20.4328767123288
"2013",1990-01-13,"O","Tomáš Košút","1. FC Slovácko",2012-07-27,22.5506849315069
"2013",1987-06-22,"O","Lukáš Kubáň","1. FC Slovácko",2012-07-27,25.1150684931507
"2013",1984-04-01,"O","Martin Kuncl","1. FC Slovácko",2012-07-27,28.3397260273973
"2013",1982-05-20,"O","Radek Mezlík","1. FC Slovácko",2012-07-27,30.2082191780822
"2013",1992-05-01,"O","René Mikulica","1. FC Slovácko",2012-07-27,20.2520547945205
"2013",1989-05-23,"O","Petr Reinberk","1. FC Slovácko",2012-07-27,23.1945205479452
"2013",1976-04-09,"O","Jan Trousil","1. FC Slovácko",2012-07-27,36.3232876712329
"2013",1991-07-15,"Z","Vlastimil Daníček","1. FC Slovácko",2012-07-27,21.0493150684932
"2013",1991-04-24,"Z","Ondřej Franta","1. FC Slovácko",2012-07-27,21.2739726027397
"2013",1983-12-09,"Z","Lukáš Fujerik","1. FC Slovácko",2012-07-27,28.6520547945205
"2013",1991-04-30,"Z","Filip Hlúpik","1. FC Slovácko",2012-07-27,21.2575342465753
"2013",1989-05-29,"Z","Martin Holek","1. FC Slovácko",2012-07-27,23.1780821917808
"2013",1978-02-11,"Z","Michal Kordula","1. FC Slovácko",2012-07-27,34.4794520547945
"2013",1983-03-17,"Z","Jan Martykán","1. FC Slovácko",2012-07-27,29.3835616438356
"2013",1987-07-09,"Z","Zdeněk Šturma","1. FC Slovácko",2012-07-27,25.0684931506849
"2013",1994-05-17,"Z","Michal Trávník","1. FC Slovácko",2012-07-27,18.2082191780822
"2013",1988-02-14,"Z","Jiří Valenta","1. FC Slovácko",2012-07-27,24.4657534246575
"2013",1984-04-07,"Z","Ladislav Volešák","1. FC Slovácko",2012-07-27,28.3232876712329
"2013",1990-02-13,"U","Josef Čtvrtníček","1. FC Slovácko",2012-07-27,22.4657534246575
"2013",1978-04-24,"U","Libor Došek","1. FC Slovácko",2012-07-27,34.2821917808219
"2013",1993-02-15,"U","Roman Haša","1. FC Slovácko",2012-07-27,19.4575342465753
"2013",1989-09-10,"U","Milan Kerbr","1. FC Slovácko",2012-07-27,22.8931506849315
"2013",1993-08-13,"U","Marián Kovář","1. FC Slovácko",2012-07-27,18.9671232876712
"2013",1988-06-22,"U","Marek Kuzma","1. FC Slovácko",2012-07-27,24.1123287671233
"2013",1988-08-25,"U","Jan Lukáš","1. FC Slovácko",2012-07-27,23.9369863013699
"2013",1990-03-12,"U","Ilija Nestorovski","1. FC Slovácko",2012-07-27,22.3917808219178
"2013",1992-03-12,"U","Jiří Skalák","1. FC Slovácko",2012-07-27,20.3890410958904
"2013",1986-08-13,"U","Radek Szmek","1. FC Slovácko",2012-07-27,25.972602739726
"2012",1973-09-23,"B","Miroslav Filipko","1. FC Slovácko",2011-07-29,37.8712328767123
"2012",1991-03-21,"B","Milan Heča","1. FC Slovácko",2011-07-29,20.3698630136986
"2012",1983-11-29,"B","Dušan Melichárek","1. FC Slovácko",2011-07-29,27.6821917808219
"2012",1992-02-25,"O","Tomáš Jeleček","1. FC Slovácko",2011-07-29,19.4356164383562
"2012",1990-01-13,"O","Tomáš Košút","1. FC Slovácko",2011-07-29,21.5534246575342
"2012",1987-06-22,"O","Lukáš Kubáň","1. FC Slovácko",2011-07-29,24.1178082191781
"2012",1984-04-01,"O","Martin Kuncl","1. FC Slovácko",2011-07-29,27.3424657534247
"2012",1982-05-20,"O","Radek Mezlík","1. FC Slovácko",2011-07-29,29.2109589041096
"2012",1989-05-23,"O","Petr Reinberk","1. FC Slovácko",2011-07-29,22.1972602739726
"2012",1976-04-09,"O","Jan Trousil","1. FC Slovácko",2011-07-29,35.3260273972603
"2012",1991-07-15,"Z","Vlastimil Daníček","1. FC Slovácko",2011-07-29,20.0520547945205
"2012",1991-04-24,"Z","Ondřej Franta","1. FC Slovácko",2011-07-29,20.2767123287671
"2012",1983-12-09,"Z","Lukáš Fujerik","1. FC Slovácko",2011-07-29,27.6547945205479
"2012",1991-04-30,"Z","Filip Hlúpik","1. FC Slovácko",2011-07-29,20.2602739726027
"2012",1978-02-11,"Z","Michal Kordula","1. FC Slovácko",2011-07-29,33.4821917808219
"2012",1991-05-18,"Z","David Pavelka","1. FC Slovácko",2011-07-29,20.2109589041096
"2012",1988-02-22,"Z","Jiří Perůtka","1. FC Slovácko",2011-07-29,23.4465753424658
"2012",1983-07-13,"Z","Miroslav Poliaček","1. FC Slovácko",2011-07-29,28.0630136986301
"2012",1994-05-17,"Z","Michal Trávník","1. FC Slovácko",2011-07-29,17.2109589041096
"2012",1983-01-04,"Z","Vít Valenta","1. FC Slovácko",2011-07-29,28.5835616438356
"2012",1984-04-07,"Z","Ladislav Volešák","1. FC Slovácko",2011-07-29,27.3260273972603
"2012",1990-02-13,"U","Josef Čtvrtníček","1. FC Slovácko",2011-07-29,21.4684931506849
"2012",1978-04-24,"U","Libor Došek","1. FC Slovácko",2011-07-29,33.2849315068493
"2012",1989-09-10,"U","Milan Kerbr","1. FC Slovácko",2011-07-29,21.8958904109589
"2012",1993-08-13,"U","Marián Kovář","1. FC Slovácko",2011-07-29,17.9698630136986
"2012",1988-08-25,"U","Jan Lukáš","1. FC Slovácko",2011-07-29,22.9397260273973
"2012",1988-04-30,"U","Václav Ondřejka","1. FC Slovácko",2011-07-29,23.2602739726027
"2011",1973-09-23,"B","Miroslav Filipko","1. FC Slovácko",2010-07-16,36.8356164383562
"2011",1987-08-18,"B","Tomáš Fryšták","1. FC Slovácko",2010-07-16,22.9260273972603
"2011",1991-03-21,"B","Milan Heča","1. FC Slovácko",2010-07-16,19.3342465753425
"2011",1984-05-05,"B","Ilya Matalyha","1. FC Slovácko",2010-07-16,26.213698630137
"2011",1992-02-25,"O","Tomáš Jeleček","1. FC Slovácko",2010-07-16,18.4
"2011",1990-01-13,"O","Tomáš Košút","1. FC Slovácko",2010-07-16,20.5178082191781
"2011",1987-06-22,"O","Lukáš Kubáň","1. FC Slovácko",2010-07-16,23.0821917808219
"2011",1984-04-01,"O","Martin Kuncl","1. FC Slovácko",2010-07-16,26.3068493150685
"2011",1982-05-20,"O","Radek Mezlík","1. FC Slovácko",2010-07-16,28.1753424657534
"2011",1987-09-28,"O","Daniel Nešpor","1. FC Slovácko",2010-07-16,22.813698630137
"2011",1989-05-23,"O","Petr Reinberk","1. FC Slovácko",2010-07-16,21.1616438356164
"2011",1988-02-09,"O","Jaroslav Starý","1. FC Slovácko",2010-07-16,22.4465753424658
"2011",1980-05-25,"O","Aleš Urbánek","1. FC Slovácko",2010-07-16,30.1616438356164
"2011",1985-10-23,"Z","Amadou Cissé","1. FC Slovácko",2010-07-16,24.7452054794521
"2011",1991-07-15,"Z","Vlastimil Daníček","1. FC Slovácko",2010-07-16,19.0164383561644
"2011",1983-12-09,"Z","Lukáš Fujerik","1. FC Slovácko",2010-07-16,26.6191780821918
"2011",1991-04-30,"Z","Filip Hlúpik","1. FC Slovácko",2010-07-16,19.2246575342466
"2011",1978-02-11,"Z","Michal Kordula","1. FC Slovácko",2010-07-16,32.4465753424658
"2011",1988-02-22,"Z","Jiří Perůtka","1. FC Slovácko",2010-07-16,22.4109589041096
"2011",1992-01-09,"Z","Jakub Svízela","1. FC Slovácko",2010-07-16,18.5287671232877
"2011",1983-01-04,"Z","Vít Valenta","1. FC Slovácko",2010-07-16,27.5479452054795
"2011",1988-02-14,"Z","Jiří Valenta","1. FC Slovácko",2010-07-16,22.4328767123288
"2011",1984-04-07,"Z","Ladislav Volešák","1. FC Slovácko",2010-07-16,26.2904109589041
"2011",1990-03-12,"U","Ilija Nestorovski","1. FC Slovácko",2010-07-16,20.358904109589
"2011",1988-04-30,"U","Václav Ondřejka","1. FC Slovácko",2010-07-16,22.2246575342466
"2011",1977-11-05,"U","Petr Švancara","1. FC Slovácko",2010-07-16,32.7150684931507
"2011",1986-08-13,"U","Radek Szmek","1. FC Slovácko",2010-07-16,23.9397260273973
"2010",1973-09-23,"B","Miroslav Filipko","1. FC Slovácko",2009-07-25,35.8602739726027
"2010",1985-05-06,"B","Josef Kubásek","1. FC Slovácko",2009-07-25,24.2356164383562
"2010",1979-04-09,"B","Petr Vašek","1. FC Slovácko",2009-07-25,30.3150684931507
"2010",1975-01-09,"O","René Formánek","1. FC Slovácko",2009-07-25,34.5643835616438
"2010",1990-01-13,"O","Tomáš Košút","1. FC Slovácko",2009-07-25,19.5424657534247
"2010",1987-06-22,"O","Lukáš Kubáň","1. FC Slovácko",2009-07-25,22.1068493150685
"2010",1984-04-01,"O","Martin Kuncl","1. FC Slovácko",2009-07-25,25.3315068493151
"2010",1977-08-13,"O","Pavel Němčický","1. FC Slovácko",2009-07-25,31.9698630136986
"2010",1974-12-23,"O","Tomáš Randa","1. FC Slovácko",2009-07-25,34.6109589041096
"2010",1982-11-29,"O","Jan Šimáček","1. FC Slovácko",2009-07-25,26.6712328767123
"2010",1984-01-17,"O","Peter Struhár","1. FC Slovácko",2009-07-25,25.5369863013699
"2010",1980-05-25,"O","Aleš Urbánek","1. FC Slovácko",2009-07-25,29.186301369863
"2010",1979-04-18,"Z","Tomáš Abrahám","1. FC Slovácko",2009-07-25,30.2904109589041
"2010",1983-12-09,"Z","Lukáš Fujerik","1. FC Slovácko",2009-07-25,25.6438356164384
"2010",1982-08-29,"Z","Michal Gonda","1. FC Slovácko",2009-07-25,26.9232876712329
"2010",1991-04-30,"Z","Filip Hlúpik","1. FC Slovácko",2009-07-25,18.2493150684931
"2010",1978-02-11,"Z","Michal Kordula","1. FC Slovácko",2009-07-25,31.4712328767123
"2010",1986-06-03,"Z","Cleber Nascimento","1. FC Slovácko",2009-07-25,23.158904109589
"2010",1988-02-22,"Z","Jiří Perůtka","1. FC Slovácko",2009-07-25,21.4356164383562
"2010",1985-07-22,"Z","Filip Racko","1. FC Slovácko",2009-07-25,24.0246575342466
"2010",1992-11-13,"Z","Václav Stráník","1. FC Slovácko",2009-07-25,16.7068493150685
"2010",1992-01-09,"Z","Jakub Svízela","1. FC Slovácko",2009-07-25,17.5534246575342
"2010",1983-01-04,"Z","Vít Valenta","1. FC Slovácko",2009-07-25,26.572602739726
"2010",1979-10-05,"Z","Lukáš Zelenka","1. FC Slovácko",2009-07-25,29.8246575342466
"2010",1980-02-24,"U","Aleš Chmelíček","1. FC Slovácko",2009-07-25,29.4356164383562
"2010",1989-09-10,"U","Milan Kerbr","1. FC Slovácko",2009-07-25,19.8849315068493
"2010",1988-01-12,"U","Radim Nečas","1. FC Slovácko",2009-07-25,21.5479452054795
"2010",1990-03-12,"U","Ilija Nestorovski","1. FC Slovácko",2009-07-25,19.3835616438356
"2010",1988-04-30,"U","Václav Ondřejka","1. FC Slovácko",2009-07-25,21.2493150684931
"2010",1982-09-04,"U","Ondřej Smetana","1. FC Slovácko",2009-07-25,26.9068493150685
"2010",1977-11-05,"U","Petr Švancara","1. FC Slovácko",2009-07-25,31.7397260273973
"2007",1976-07-14,"B","Petr Drobisz","1. FC Slovácko",2006-07-30,30.0630136986301
"2007",1987-08-18,"B","Tomáš Fryšták","1. FC Slovácko",2006-07-30,18.9616438356164
"2007",1981-03-16,"B","Václav Marek","1. FC Slovácko",2006-07-30,25.3890410958904
"2007",1985-12-22,"O","Vítězslav Brožík","1. FC Slovácko",2006-07-30,20.6164383561644
"2007",1981-11-28,"O","Tomáš Ineman","1. FC Slovácko",2006-07-30,24.6849315068493
"2007",1984-01-17,"O","Petr Kaspřák","1. FC Slovácko",2006-07-30,22.5479452054795
"2007",1987-06-22,"O","Lukáš Kubáň","1. FC Slovácko",2006-07-30,19.1178082191781
"2007",1986-02-16,"O","Pavel Malchárek","1. FC Slovácko",2006-07-30,20.4630136986301
"2007",1977-08-13,"O","Pavel Němčický","1. FC Slovácko",2006-07-30,28.9808219178082
"2007",1981-09-30,"O","Jan Rajnoch","1. FC Slovácko",2006-07-30,24.8465753424658
"2007",1982-11-29,"O","Jan Šimáček","1. FC Slovácko",2006-07-30,23.6821917808219
"2007",1985-01-21,"O","Petr Spazier","1. FC Slovácko",2006-07-30,21.5342465753425
"2007",1985-09-12,"O","Jiří Studík","1. FC Slovácko",2006-07-30,20.8931506849315
