"","season","dateBorn","position","name","team","dateSeasonStart","playerAgeYrs"
"4","2013",1988-10-21,"O","Sarrion Pablo Gil","acspa",2012-07-27,23.7808219178082
"5","2013",1993-01-03,"O","Matěj Hybš","acspa",2012-07-27,19.5753424657534
"6","2013",1992-07-20,"O","Adam Jánoš","acspa",2012-07-27,20.0328767123288
"7","2013",1977-10-27,"O","Jiří Jarošík","acspa",2012-07-27,34.772602739726
"8","2013",1986-08-20,"O","Manuel Pamić","acspa",2012-07-27,25.9534246575342
"9","2013",1992-01-11,"O","Roman Polom","acspa",2012-07-27,20.5561643835616
"10","2013",1982-12-03,"O","Ondřej Švejdík","acspa",2012-07-27,29.6684931506849
"11","2013",1981-07-02,"O","Vlastimil Vidlička","acspa",2012-07-27,31.0904109589041
"12","2013",1980-09-13,"O","Tomáš Zápotočný","acspa",2012-07-27,31.8904109589041
"33","2012",1977-02-24,"O","Erich Brabec","acspa",2011-07-29,34.4465753424658
"34","2012",1992-08-06,"O","Jakub Brabec","acspa",2011-07-29,18.9890410958904
"35","2012",1992-03-24,"O","Martin Frýdek","acspa",2011-07-29,19.358904109589
"36","2012",1977-10-27,"O","Jiří Jarošík","acspa",2011-07-29,33.7753424657534
"37","2012",1984-04-05,"O","Ondřej Kušnír","acspa",2011-07-29,27.3315068493151
"38","2012",1986-08-20,"O","Manuel Pamić","acspa",2011-07-29,24.9561643835616
"39","2012",1974-01-02,"O","Tomáš Řepka","acspa",2011-07-29,37.5945205479452
"40","2012",1981-07-02,"O","Vlastimil Vidlička","acspa",2011-07-29,30.0931506849315
"41","2012",1980-09-13,"O","Tomáš Zápotočný","acspa",2011-07-29,30.8931506849315
"62","2011",1987-01-02,"O","Adiaba Clovis Guy Bondoa","acspa",2010-07-16,23.5506849315069
"63","2011",1977-02-24,"O","Erich Brabec","acspa",2010-07-16,33.4109589041096
"64","2011",1990-03-09,"O","Lukáš Hejda","acspa",2010-07-16,20.3671232876712
"65","2011",1986-08-17,"O","Niklas Hoheneder","acspa",2010-07-16,23.9287671232877
"66","2011",1987-04-27,"O","Jan Krob","acspa",2010-07-16,23.2356164383562
"67","2011",1984-04-05,"O","Ondřej Kušnír","acspa",2010-07-16,26.2958904109589
"68","2011",1986-08-20,"O","Manuel Pamić","acspa",2010-07-16,23.9205479452055
"69","2011",1974-01-02,"O","Tomáš Řepka","acspa",2010-07-16,36.558904109589
"70","2011",1980-09-13,"O","Tomáš Zápotočný","acspa",2010-07-16,29.8575342465753
"94","2010",1977-02-24,"O","Erich Brabec","acspa",2009-07-25,32.4356164383562
"95","2010",1990-03-09,"O","Lukáš Hejda","acspa",2009-07-25,19.3917808219178
"96","2010",1986-08-17,"O","Niklas Hoheneder","acspa",2009-07-25,22.9534246575342
"97","2010",1984-06-06,"O","Roman Hubník","acspa",2009-07-25,25.1506849315068
"98","2010",1984-04-05,"O","Ondřej Kušnír","acspa",2009-07-25,25.3205479452055
"99","2010",1986-08-20,"O","Manuel Pamić","acspa",2009-07-25,22.9452054794521
"100","2010",1974-01-02,"O","Tomáš Řepka","acspa",2009-07-25,35.5835616438356
"124","2009",1982-09-16,"O","Marián Had","acspa",2008-08-03,25.8986301369863
"125","2009",1985-08-29,"O","Tomáš Huber","acspa",2008-08-03,22.9452054794521
"126","2009",1984-06-06,"O","Roman Hubník","acspa",2008-08-03,24.1753424657534
"127","2009",1984-12-13,"O","Michal Kadlec","acspa",2008-08-03,23.6547945205479
"128","2009",1987-04-27,"O","Jan Krob","acspa",2008-08-03,21.2849315068493
"129","2009",1984-06-11,"O","Štěpán Kučera","acspa",2008-08-03,24.1616438356164
"130","2009",1984-04-05,"O","Ondřej Kušnír","acspa",2008-08-03,24.3452054794521
"131","2009",1986-08-20,"O","Manuel Pamić","acspa",2008-08-03,21.9698630136986
"132","2009",1974-01-02,"O","Tomáš Řepka","acspa",2008-08-03,34.6082191780822
