"","seasonId","dateBorn","position","name","club","seasonStart"
"4","2013",1988-10-21,"O","Sarrion Pablo Gil","acspa",2012-07-27
"5","2013",1993-01-03,"O","Matěj Hybš","acspa",2012-07-27
"6","2013",1992-07-20,"O","Adam Jánoš","acspa",2012-07-27
"7","2013",1977-10-27,"O","Jiří Jarošík","acspa",2012-07-27
"8","2013",1986-08-20,"O","Manuel Pamić","acspa",2012-07-27
"9","2013",1992-01-11,"O","Roman Polom","acspa",2012-07-27
"10","2013",1982-12-03,"O","Ondřej Švejdík","acspa",2012-07-27
"11","2013",1981-07-02,"O","Vlastimil Vidlička","acspa",2012-07-27
"12","2013",1980-09-13,"O","Tomáš Zápotočný","acspa",2012-07-27
"573","2013",1979-11-02,"O","Marián Čišovský","fcvik",2012-07-27
"574","2013",1990-03-09,"O","Lukáš Hejda","fcvik",2012-07-27
"575","2013",1983-10-06,"O","David Limberský","fcvik",2012-07-27
"576","2013",1984-05-08,"O","Václav Procházka","fcvik",2012-07-27
"577","2013",1986-03-12,"O","František Rajtoral","fcvik",2012-07-27
"578","2013",1989-01-20,"O","Radim Řezník","fcvik",2012-07-27
"579","2013",1979-03-31,"O","František Ševínský","fcvik",2012-07-27
